"","date","gdp","gdph","jgdp","c","ch","jc","jgf","jgs","jgse","jgsi","ptgh","ptgsh","ptgfh","yptmr","yptmd","yptu","gtfp","ypog","yptx","ytpi","yctlg","g","grcsi","dc","gf","gs","gfh","gsh","gfrpt","gfrpri","gfrcp","gfrs","gftfp","gfeg","gsrpt","gsrpri","gsrcp","gsrs","gstfp","gset","gfeghhx","gfeghdx","gfeigx","gfsub","gssub","gsub","gftfbusx","gftfpe","pcw","gdppothq","gdppotq","recessq","cpiu_g","gfrpt_g","gfrpri_g","gfrcp_g","gfrs_g","yptmr_g","yptmd_g","gfrptCurrentLaw_g","gftfp_g","yptu_g","gdp_g","gdph_g","gdppothq_g","gdppotq_g","dc_g","jgdp_g","c_g","ch_g","gh_g","gfh_g","gsh_g","g_g","gf_g","gs_g","cpiu_g_g","cola_rate_g","gftfp_before_cola_g","health_ui_g","gftfp_noCOLA_g","gfrpt_g_g","gfrpri_g_g","gfrcp_g_g","gfrs_g_g","yptmr_g_g","yptmd_g_g","gfrptCurrentLaw_g_g","jgf_g","jgs_g","jc_g","gsrpt_g","gsrpri_g","gsrcp_g","gsrs_g","yq","unemployment_insurance_override","federal_unemployment_insurance_override","state_unemployment_insurance_override","fshare","historical","forecast_period","gftfpnet_g","gstfp_g","gstfpnet_g","gfeghhx_g","gfeghdx_g","gfsub_g","gssub_g","gfeg_g","gfeigx_g","jgsi_g","jgse_g","gdp_g_cumulative_growth","gdph_g_cumulative_growth","jgdp_g_cumulative_growth","gdppotq_g_cumulative_growth","gdppothq_g_cumulative_growth","g_g_cumulative_growth","gf_g_cumulative_growth","gs_g_cumulative_growth","jgf_g_cumulative_growth","jgs_g_cumulative_growth","jgse_g_cumulative_growth","jgsi_g_cumulative_growth","gfeg_g_cumulative_growth","gfeghhx_g_cumulative_growth","gfeghdx_g_cumulative_growth","gfeigx_g_cumulative_growth","gfrpt_g_cumulative_growth","gsrpt_g_cumulative_growth","gfrs_g_cumulative_growth","gsrs_g_cumulative_growth","gfrcp_g_cumulative_growth","gsrcp_g_cumulative_growth","gfrpri_g_cumulative_growth","gsrpri_g_cumulative_growth","gftfp_g_cumulative_growth","gstfp_g_cumulative_growth","yptmd_g_cumulative_growth","yptmr_g_cumulative_growth","gssub_g_cumulative_growth","gfsub_g_cumulative_growth","c_g_cumulative_growth","jc_g_cumulative_growth","gdp_forecast","gdph_forecast","jgdp_forecast","gdppotq_forecast","gdppothq_forecast","g_forecast","gs_forecast","gf_forecast","jgf_forecast","jgs_forecast","jgse_forecast","jgsi_forecast","gfeg_forecast","gfeghhx_forecast","gfeghdx_forecast","gfeigx_forecast","gfrpt_forecast","gsrpt_forecast","gfrs_forecast","gsrs_forecast","gfrcp_forecast","gsrcp_forecast","gfrpri_forecast","gsrpri_forecast","gftfp_forecast","gstfp_forecast","yptmd_forecast","yptmr_forecast","gssub_forecast","gfsub_forecast","c_forecast","jc_forecast","yfptmd","ysptmd","gfegnet","gstfpnet","gftfpnet"
"1",1970-03-31,1051.2,4936.6,21.286,631.7,3065.1,20.61,18.701,13.706,13.106,16.825,-0.48,0.41,-0.88,7,5,2.9,63,1.2,104.6,88.5,30.7,247.9,46.2,20.609,133.6,114.3,714,834.4,90.6,17.9,27,45.1,45.4,16.6,14,70.6,3.8,1.1,17.6,129.9,NA,NA,5.576,4.7,0,4.7,2.6,NA,38.3,4960,1056.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.537240076,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68620038,2.31379962,13.91379962,14.91379962,48.08620038
"2",1970-06-30,1067.4,4943.6,21.593,641.6,3079,20.838,18.948,13.996,13.367,17.248,-1.11,0.24,-1.35,7.2,5.3,3.9,73.1,1.3,105.5,90.5,30.8,249.1,46.5,20.837,131.8,117.4,695.2,838.9,91.4,18.1,27,45.4,53.6,17.9,14.1,72.4,3.7,1.1,19.5,134.1,NA,NA,5.228,4.8,0,4.8,3.544,NA,38.8333333333333,4999.8,1079.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.537240076,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8473724028,2.4526275972,15.0526275972,16.6526275972,56.4473724028
"3",1970-09-30,1086.1,4989.2,21.77,653.5,3106,21.041,19.271,14.249,13.603,17.582,0.4,1.01,-0.61,7.3,5.6,4.6,73.5,1.3,100.7,92.5,31.7,254.6,46.9,21.04,132.4,122.2,686.7,858.1,86.3,18.2,27.9,45.9,52.3,19.2,14.3,74.3,3.8,1.1,21.2,140.1,NA,NA,4.816,4.7,0,4.7,4.164,NA,39.2333333333333,5038.1,1096.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.537240076,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0085444256,2.5914555744,16.1914555744,18.1914555744,55.3085444256
"4",1970-12-31,1088.6,4935.7,22.055,660.2,3097.5,21.314,19.516,14.519,13.832,18.028,0.06,0.23,-0.18,7.5,5.9,5.4,77.4,1.3,101.5,94.1,30.2,258.7,46.7,21.313,133.5,125.2,684.1,862.4,87.2,18.2,26.6,45.6,54.4,19.8,14.4,76,3.6,1.1,22.9,144.3,NA,NA,4.9,4.8,0,4.8,4.936,NA,39.8,5075.2,1119.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.537240076,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1697164484,2.7302835516,16.6302835516,19.7302835516,57.5697164484
"5",1971-03-31,1135.2,5069.7,22.389,679.2,3157,21.516,20.134,14.849,14.173,18.332,-1.31,0.22,-1.52,7.8,6.2,5.7,79.3,1.4,98.3,97.7,34,261.9,50.8,21.514,133.3,128.6,662.1,866,83.6,19.4,29.9,49.6,55.3,20.5,14.7,78.3,4.1,1.1,24,149.1,NA,NA,5.464,4.7,0,4.8,5.224,NA,40.1666666666667,5112.2,1144.7,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.569081404,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5283047048,2.6716952952,16.9716952952,20.4716952952,58.8283047048
"6",1971-06-30,1156.3,5097.2,22.689,693.2,3186,21.761,20.51,15.117,14.438,18.625,-0.21,0.34,-0.55,8,6.6,6.3,86.9,1.4,100.7,98.9,34.9,266.1,51.4,21.759,134.3,131.9,654.4,872.4,85.1,18.7,30.7,50.2,61.6,22.1,15.6,80.2,4.2,1.2,25.4,153.6,NA,NA,6.312,4.8,0,4.8,5.7,NA,40.5333333333333,5149.9,1168.3,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.569081404,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7559372664,2.8440627336,18.3440627336,21.6440627336,65.3559372664
"7",1971-09-30,1177.7,5139.1,22.917,705.6,3211.4,21.975,20.807,15.33,14.656,18.828,-0.05,0.16,-0.2,8.1,6.9,6.3,86.9,1.5,102.3,101.7,34.1,269.8,51.6,21.972,135.6,134.2,651.5,875.4,86.3,18.9,29.8,50.5,60.9,22.4,16,82.8,4.4,1.2,25.9,156.9,NA,NA,5.756,4.5,0,4.5,5.684,NA,40.9666666666667,5188.1,1188.9,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.569081404,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9266616876,2.9733383124,18.4733383124,21.9733383124,64.8266616876
"8",1971-12-31,1190.3,5151.2,23.107,721.7,3264.7,22.111,21.23,15.498,14.789,19.153,-0.66,0.57,-1.24,8.3,7.3,6.3,88.5,1.5,105.5,103.7,34.6,272.1,52.2,22.108,134.7,137.4,634.4,886.4,88.2,19,30.1,51,61.9,23.7,17.3,84.7,4.5,1.2,26.6,161,NA,NA,5.644,4.6,0,4.6,5.72,NA,41.2333333333333,5227,1207.8,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.569081404,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1542942492,3.1457057508,19.5457057508,22.4457057508,66.0542942492
"9",1972-03-31,1230.6,5246,23.478,738.9,3307.8,22.344,22.104,15.844,15.161,19.398,0.52,0.13,0.39,8.5,7.8,6.5,91.4,1.7,119.8,104.6,36.8,282.2,58.5,22.34,141.4,140.8,639.7,888.8,100.3,18.2,31.8,57.3,63.7,24.4,19.5,86.4,5,1.3,27.7,165.7,NA,NA,5.668,6.1,0,6.1,5.932,NA,41.6,5266.6,1235.4,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.546908828,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2658888584,3.5341111416,20.1341111416,23.4341111416,67.9658888584
"10",1972-06-30,1266.4,5365,23.621,757.4,3370.7,22.473,22.327,16.031,15.36,19.534,0.41,-0.07,0.48,8.7,8,6.9,91.9,1.8,123.4,106.8,37.1,286.5,59.2,22.469,144.2,142.2,645.9,887.3,102.4,18.3,32,57.9,63.3,32.7,21,88.5,5,1.3,28.5,167.9,NA,NA,5.216,6.2,0.1,6.2,6.192,NA,41.8,5306.7,1252.6,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.546908828,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.375270624,3.624729376,28.324729376,24.124729376,67.675270624
